timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1753567720187,1305,Main Bundle,404,Not Found,Moderate Load 2-14,text,false,,21704,136,15,16,http://localhost:3000/static/js/main.js,1241,0,0
1753567705424,22328,Homepage,200,OK,Moderate Load 2-24,text,true,,90925,119,20,21,http://localhost:3000/,143,0,2
1753567710228,17526,Homepage,200,OK,Moderate Load 2-28,text,true,,90925,119,20,21,http://localhost:3000/,2875,0,1
1753567706626,21131,Homepage,200,OK,Moderate Load 2-25,text,true,,90925,119,20,21,http://localhost:3000/,143,0,1
1753567704824,22939,Homepage,200,OK,Light Load 1-10,text,true,,90925,119,1,21,http://localhost:3000/,157,0,2
1753567707829,19942,Homepage,200,OK,Moderate Load 2-26,text,true,,90933,119,20,21,http://localhost:3000/,307,0,1
1753567711434,16342,Homepage,200,OK,Moderate Load 2-29,text,true,,90933,119,20,21,http://localhost:3000/,1671,0,2
1753567709037,18742,Homepage,200,OK,Moderate Load 2-27,text,true,,90739,119,20,21,http://localhost:3000/,468,0,2
1753567728267,678,API - Products,404,Not Found,Moderate Load 2-28,text,false,,21695,131,21,22,http://localhost:3000/api/products,665,0,0
1753567728267,682,API - Products,404,Not Found,Moderate Load 2-25,text,false,,21695,131,21,22,http://localhost:3000/api/products,666,0,0
1753567728267,686,API - Products,404,Not Found,Light Load 1-10,text,false,,21695,131,1,22,http://localhost:3000/api/products,668,0,0
1753567728282,675,API - Products,404,Not Found,Moderate Load 2-27,text,false,,21695,131,21,22,http://localhost:3000/api/products,654,0,0
1753567728267,696,API - Products,404,Not Found,Moderate Load 2-24,text,false,,21695,131,21,22,http://localhost:3000/api/products,671,0,0
1753567728282,691,API - Products,404,Not Found,Moderate Load 2-26,text,false,,21695,131,21,22,http://localhost:3000/api/products,658,0,0
1753567728282,696,API - Products,404,Not Found,Moderate Load 2-29,text,false,,21695,131,21,22,http://localhost:3000/api/products,660,0,0
1753567729463,688,Main Bundle,404,Not Found,Moderate Load 2-27,text,false,,21704,136,22,23,http://localhost:3000/static/js/main.js,675,0,0
1753567729448,707,Main Bundle,404,Not Found,Moderate Load 2-28,text,false,,21704,136,21,22,http://localhost:3000/static/js/main.js,691,0,0
1753567729463,696,Main Bundle,404,Not Found,Moderate Load 2-25,text,false,,21704,136,20,21,http://localhost:3000/static/js/main.js,678,0,0
1753567729463,700,Main Bundle,404,Not Found,Light Load 1-10,text,false,,21704,136,1,20,http://localhost:3000/static/js/main.js,680,0,0
1753567729463,704,Main Bundle,404,Not Found,Moderate Load 2-24,text,false,,21704,136,19,19,http://localhost:3000/static/js/main.js,682,0,0
1753567729479,693,Main Bundle,404,Not Found,Moderate Load 2-26,text,false,,21704,136,18,18,http://localhost:3000/static/js/main.js,667,0,0
1753567729479,696,Main Bundle,404,Not Found,Moderate Load 2-29,text,false,,21704,136,17,17,http://localhost:3000/static/js/main.js,669,0,0
1753567712625,25239,Homepage,200,OK,Moderate Load 2-30,text,true,,90925,119,21,21,http://localhost:3000/,2379,0,2
1753567721037,16829,Homepage,200,OK,Moderate Load 2-37,text,true,,90925,119,21,21,http://localhost:3000/,641,0,1
1753567722235,15633,Homepage,200,OK,Moderate Load 2-38,text,true,,90925,119,21,21,http://localhost:3000/,174,0,1
1753567716239,21631,Homepage,200,OK,Moderate Load 2-33,text,true,,90925,119,21,21,http://localhost:3000/,185,0,2
1753567715030,22844,Homepage,200,OK,Moderate Load 2-32,text,true,,90925,119,21,21,http://localhost:3000/,346,0,2
1753567718636,19241,Homepage,200,OK,Moderate Load 2-35,text,true,,90925,119,21,21,http://localhost:3000/,1544,0,1
1753567717432,20450,Homepage,200,OK,Moderate Load 2-34,text,true,,90739,119,21,21,http://localhost:3000/,544,0,1
1753567723426,14457,Homepage,200,OK,Moderate Load 2-39,text,true,,90680,119,21,21,http://localhost:3000/,166,0,1
1753567719835,18051,Homepage,200,OK,Moderate Load 2-36,text,true,,90933,119,21,21,http://localhost:3000/,567,0,1
1753567713827,24062,Homepage,200,OK,Moderate Load 2-31,text,true,,90739,119,21,21,http://localhost:3000/,1364,0,1
1753567738369,181,API - Products,404,Not Found,Moderate Load 2-30,text,false,,21695,131,21,21,http://localhost:3000/api/products,176,0,0
1753567738369,185,API - Products,404,Not Found,Moderate Load 2-37,text,false,,21695,131,21,21,http://localhost:3000/api/products,178,0,0
1753567738384,900,API - Products,404,Not Found,Moderate Load 2-32,text,false,,21695,131,21,21,http://localhost:3000/api/products,883,0,0
1753567738384,905,API - Products,404,Not Found,Moderate Load 2-33,text,false,,21695,131,21,21,http://localhost:3000/api/products,885,0,0
1753567738384,908,API - Products,404,Not Found,Moderate Load 2-35,text,false,,21695,131,21,21,http://localhost:3000/api/products,887,0,0
1753567738384,913,API - Products,404,Not Found,Moderate Load 2-38,text,false,,21695,131,21,21,http://localhost:3000/api/products,888,0,0
1753567738384,916,API - Products,404,Not Found,Moderate Load 2-34,text,false,,21695,131,21,21,http://localhost:3000/api/products,889,0,0
1753567738400,904,API - Products,404,Not Found,Moderate Load 2-39,text,false,,21695,131,21,21,http://localhost:3000/api/products,875,0,0
1753567738400,907,API - Products,404,Not Found,Moderate Load 2-31,text,false,,21695,131,21,21,http://localhost:3000/api/products,877,0,0
1753567738400,911,API - Products,404,Not Found,Moderate Load 2-36,text,false,,21695,131,21,21,http://localhost:3000/api/products,879,0,0
1753567739053,452,Main Bundle,404,Not Found,Moderate Load 2-30,text,false,,21704,136,21,21,http://localhost:3000/static/js/main.js,447,0,0
1753567739068,441,Main Bundle,404,Not Found,Moderate Load 2-37,text,false,,21704,136,20,20,http://localhost:3000/static/js/main.js,434,0,0
1753567739796,260,Main Bundle,404,Not Found,Moderate Load 2-35,text,false,,21704,136,19,19,http://localhost:3000/static/js/main.js,251,0,0
1753567739796,265,Main Bundle,404,Not Found,Moderate Load 2-33,text,false,,21704,136,18,18,http://localhost:3000/static/js/main.js,253,0,0
1753567739796,269,Main Bundle,404,Not Found,Moderate Load 2-32,text,false,,21704,136,17,17,http://localhost:3000/static/js/main.js,254,0,0
1753567739812,626,Main Bundle,404,Not Found,Moderate Load 2-34,text,false,,21704,136,16,16,http://localhost:3000/static/js/main.js,618,0,0
1753567739812,630,Main Bundle,404,Not Found,Moderate Load 2-39,text,false,,21704,136,15,15,http://localhost:3000/static/js/main.js,619,0,0
1753567739812,634,Main Bundle,404,Not Found,Moderate Load 2-31,text,false,,21704,136,14,14,http://localhost:3000/static/js/main.js,621,0,0
